,label,tweet
0,0,"@subtanyarl First love ku, orang yang nemuin kuncirku pas sd 🙂."
1,0,I still love this quote from my daughter when she was 10 years old!  #Welsh https://t.co/GWE5YCVlHB
2,0,"I love him with all my heart I’m glad he feels like that :,) https://t.co/PHLgKkzP81"
3,0,@kamekazu223_bot カズヤのエッチ
4,0,"RT @inksoomissedit: Kyungsoo Chanyeol and Kris a trio we'd LOVE to see again!! The OG heart line 😭

 https://t.co/YAetsKMC4Z

#DYOCON #Kyun…"
5,0,RT @_1Tru: Ppl don’t love you 😂😂 they be loving how you hold shit down frl.
6,0,"RT @Kartheeek943: """" Intiki jagartha ga velandi, intlo me amma nanna eduru chustaru""""   these lines shows his love towards his fans
@tarak9…"
7,0,RT @BubblesxMakeup: ชี้เป้าาา เมื่อวานแวะ gourmet market เจอ pepperidge farm ลดราคาเหลือ97บาทจาก149 สาวกคุ้กกี้รีบไปตำจ้า🍪🍪🍪 https://t.co/w…
8,0,"RT @ErikBootsma: The great irony of the sophistry that being in favor of classical architecture is somehow a codeword for being a ""white su…"
9,0,@natnewangel I love it!!
10,0,@BTS_twt OMG I LOVE YOU GUYSSS
11,0,RT @TheGlassCactus: @LisaRieffel We had to cover this because its 10x better than anything we've ever wrote! Love it! https://t.co/LFMtqXOi…
12,0,@BTS_twt AAAH I LOVE YOU!!!
13,0,@BTS_twt @tkoocult I LOVE YOU
14,0,"RT @ShopeeID: EXO-L!!! Kita mau giveaway Album EXO - Love Shot nih! 🤩 Ini dia cara ikutan giveawaynya:

1. FOLLOW @shopeeid
2. RT &amp; LIKE tw…"
15,0,"RT @syukerys: Remember , real love will never make u look like a fool"
16,0,"Thank you, my love, for everything you are to me. 🧡#EpitomeOfPerfection131 https://t.co/Vu8KcHpHWR"
17,0,"RT @ronalucas_: i love my mom, today, tomorrow and always."
18,0,RT @_tinabean: I love when I immediately feel comfortable reciprocating affection and physical touch.
19,0,"RT @devilll01: วันนี้รายการ YWY เจอคู่แข่งออนแอร์พร้อมกัน 6 รายการ OMG! Fighting มาสู้ไปด้วยกัน 
#0509YouthWithLISA
#YouthWithYouEP18 https…"
20,0,@SPRB97 He just wants to know know know know what is love
21,0,"RT @RickStarkRadio: The incredible @butchwalker has a new record out today, ‘American Love Story’!  It’s a “rock opera” about overcoming ha…"
22,0,"RT @kaalabhairava7: Here is the CDP for the birthday of our Komaram Bheem, N-T-R 
The man who’s talent has no boundaries! 
Tarak Anna is lo…"
